_id,Mouse_Path_Length,Mouse_Avg_Speed,Mouse_Max_Speed,Mouse_Stops,Mouse_Click_Frequency,Mouse_Scroll_Speed,Mouse_Scroll_Direction_Changes,Avg_Click_X,Avg_Click_Y,Click_Spread,Typing_Speed,Keypress_Interval_Avg,Key_Hold_Duration_Avg,Special_Key_Usage,Error_Corrections,Pause_Between_Typing,Interaction_Duration,Mouse_Keyboard_Interaction_Correlation,Response_Time,Result
6742b5d39c127b74bcf46eb5,1036.6786802389686,207.21140920227234,4.466329240641933,4,0.1998800719568259,0.0,0,689.0,335.0,0.0,1.1992804317409553,102.83333333333333,102.83333333333333,0,0,62.0,5.003,0.8,0.0,0
6742b5d89c127b74bcf46eb6,214.54258766450081,42.84852959147211,1.5,27,0.5991611743559018,0.0,0,890.6666666666666,499.0,41.73712855573602,2.7960854803275415,154.84615384615384,154.84615384615384,1,0,336.0,5.007,0.8,0.0,0
6742b5d89c127b74bcf46eb7,91.0691439175442,9.105093373079804,1.0814574300500137,3,0.0,0.0,0,0.0,0.0,0.0,1.999600079984003,90.0,90.0,10,0,93.0,10.002,0.8,0.0,0
6742b5e09c127b74bcf46eb8,306.7300119785451,61.260238062421635,1.3420210162897097,23,0.39944078290393453,0.0,0,895.5,489.5,102.45974819410792,1.5977631316157381,141.75,141.75,4,0,97.0,5.007,0.8,0.0,0
6742b5e39c127b74bcf46eb9,102.65329071134893,5.1324079151716875,0.75,6,0.049997500124993745,0.0,0,644.0,510.0,0.0,0.9499525023748812,88.6842105263158,88.6842105263158,11,0,128.0,20.001,0.8,0.0,0
6742b5eb9c127b74bcf46eba,23.490730878714047,4.6925151575537445,0.9428090415820635,3,0.1997602876548142,0.0,0,702.0,337.0,0.0,1.5980823012385137,86.125,86.125,0,0,45.0,5.006,0.8,0.0,0
6742b5eb9c127b74bcf46ebb,171.57100657742959,34.25254673136945,0.7857142857142857,28,0.3992812936713915,0.0,0,894.5,504.5,81.74350127074322,2.395687762028349,154.1818181818182,154.1818181818182,1,0,368.0,5.009,0.8,0.0,0
6742b5ef9c127b74bcf46ebc,115.34098650793209,11.532945356257583,1.7261494247992246,6,0.09999000099990002,0.0,0,637.0,430.0,0.0,0.4999500049995001,135.4,135.4,1,0,214.0,10.001,0.8,0.0,0
6742b5f59c127b74bcf46ebd,204.56428070583772,40.84750014094204,0.5659615711335886,52,0.3993610223642173,0.0,0,892.5,504.5,102.9271587094485,3.194888178913738,142.75,142.75,0,0,192.0,5.008,0.8,0.0,0
6742b5f99c127b74bcf46ebe,0.0,0.0,0.0,0,0.04999250112483127,0.0,0,645.0,505.0,0.0,0.6998950157476379,97.92857142857143,97.92857142857143,3,0,68.0,20.003,0.8,0.0,0
6742b5ff9c127b74bcf46ebf,240.77559107687648,48.14548911755178,0.6363636363636364,40,0.3999200159968006,0.0,0,873.0,488.5,85.09406559801923,2.9994001199760048,184.4,184.4,1,0,336.0,5.001,0.8,0.0,0
6742b6089c127b74bcf46ec0,160.81298500495566,32.143311014382505,0.42857142857142855,23,0.3997601439136518,0.0,0,870.5,491.0,83.3606621854697,2.3985608634819107,201.41666666666666,201.41666666666666,1,0,657.0,5.003,0.8,0.0,0
6742b6119c127b74bcf46ec1,257.47181164199515,51.45319976858416,1.0852547064066471,27,0.39968025579536376,0.0,0,886.5,487.5,75.32595834106593,3.397282174260592,166.0625,166.0625,1,0,288.0,5.004,0.8,0.0,0
